,type,length
0,1,856674
1,1,875014
2,1,870718
3,1,872476
4,1,839187
5,1,868683
6,2,807696
7,2,794498
8,2,788040
9,2,789959
10,2,815319
11,2,827808
12,3,395752
13,3,389273
14,3,346674
15,3,341136
16,3,351669
17,3,388925
18,4,238349
19,4,250374
20,4,197039
21,4,244293
22,4,244683
23,4,238407
24,5,92805
25,5,74807
26,5,76921
27,5,76863
28,5,96548
29,5,97547
30,6,3482496
31,6,3472738
32,6,3795523
33,6,3833171
34,6,3639274
35,6,3504213
36,7,120366
37,7,126866
38,7,120163
39,7,123521
40,7,107392
41,7,115993
